DOI	Title	Authors	Abstract	Journal	Date
10.1186/s12933-025-02826-1	association index mortality patient different glucose metabolism status	Liu J; Kang J; Liang P; Song Z; Li G; Jin X; Wu H	objective index tyg is emerging marker metabolic health association mortality different glucose metabolism status remains unclear study aimed to investigate relationship tyg risk cardiovascular mortality individual normoglycemia dysglycemia diabetes mellitus method participant nine cycle national health nutrition examination survey nhanes were included categorized three group normoglycemia dysglycemia diabetes cox regression restricted cubic spline rcs analysis were performed to evaluate linear nonlinear association tyg mortality to assess predictive power tyg atherogenic index plasma aip mortality receiver operating characteristic roc curve were constructed subgroup analysis were conducted based age sex blood pressure status result median year total death cardiovascular death were documented normoglycemic group single standard unit increase tyg wa associated higher risk mortality higher risk cardiovascular mortality hr ci hr ci respectively participant diabetes rcs analysis revealed association tyg mortality inflection point significant association were observed dysglycemia group tyg demonstrated superior predictive performance compared to aip mortality normoglycemic diabetic individual subgroup analysis identified significant interaction effect age sex association tyg mortality conclusion tyg wa associated increased risk cardiovascular death normoglycemic subgroup not dysglycemic subgroup diabetes subgroup association tyg mortality wa nonlinear predictive value tyg different glucose metabolism status provides new evidence medical practice	Cardiovasc Diabetol	24/09/2025
10.1111/jdv.70067	effectiveness safety baricitinib severe alopecia areata result	Piraccini BM; Cedirian S; Pampaloni F; Rapparini L; Quadrelli F; Bruni F; Ala L; Acri MC; Rossi A; Pellacani G; Lacarrubba F; Dall&#x27;Oglio F; Micali G; Foggia L; Cantelli M; Nappa P; Diluvio L; Bianchi L; Luigi N; Bolzon A; Peris K; Caldarola G; Girolomoni G; Marangoni F; Bellinato F; Gisondi P; Silvi G; Prignano F; Pimpinelli N; Tomasini C; Barruscotti S; Simonetti O; de Simoni E; Ambrogio F; Foti C; Boccaletti V; Fraghì A; Marzano AV; Mattioli MA; Ferrucci S; Sechi A; Valtellini L; Barbareschi M; Gallo G; Ribero S; Quaglino P; Di Corteranzo IG; Balestri R; Pagliarello C; Caposiena RD; Zalaudek I; Vagnozzi E; Fargnoli MC; Caponio C; Rubegni P; Cinotti E; Trovato E; Romanelli M; Dini V; Manzo Margiotta F; Feliciani C; De Felici Del Giudice MB; Atzori L; Sanna S; Lembo S; Raimondo A; Magnano M; Argenziano G; Babino G; Fulgione E; Rongioletti F; Pesce N; Guida S; Guglielmo A; Schettini N; Starace M	background alopecia areata aa is autoimmune condition leading to hair loss baricitinib janus kinase jak inhibitor ha demonstrated efficacy controlled clinical trial data effectiveness safety remain limited objective study aimed to assess effectiveness safety baricitinib mg daily italian adult patient severe aa treatment period method conducted retrospective observational multicenter study italian university hospital adult patient year severe aa severity alopecia tool salt score who initiated baricitinib mg daily treatment november october were included effectiveness wa measured percentage patient achieving salt week secondary outcome included change mean salt score trichoscopic finding quality life hospital anxiety depression scale hads outcome clinro eyebrow eyelash adverse event were also documented result total patient female mean age year were included week achieved salt achieved salt mean salt score significantly decreased baseline to week lt trichoscopic assessment showed decline yellow dot black dot dystrophic hair whilst regrowing hair increased score improved significantly to lt did hads anxiety to lt hads depression to lt adverse event were reported patient conclusion study confirms effectiveness baricitinib achieving significant hair regrowth improving psychological severe aa patient	J Eur Acad Dermatol Venereol	23/09/2025
10.1186/s13102-021-00259-3	influence athletic performance highest position final ranking serie season	Longo UG; Sofi F; Candela V; Risi Ambrogioni L; Pagliai G; Massaroni C; Schena E; Cimmino M; D&#x27;Ancona F; Denaro V	background previous study serie season showed greater likelihood reaching top position italian league quot quot seemed to be mainly related to sprint activity goal attempt total throw target shot assist therefore aim to evaluate following season data same league to compare confirm improve result method data all match played quot quot season were obtained italian soccer league team analysis wa performed term total distance covered km jogging running sprint activity average speed match statistic total shot shot target goal attempt assist turnover steal result team that reached first four position revealed lower percentage running lt higher percentage jogging sprint activity lt match statistic seem to be statistically different first four team other team total goal are strongly associated total score end championship lt position final ranking lt conclusion result suggest team have lower running rate higher percentage jogging sprinting other team	BMC Sports Sci Med Rehabil	25/03/2021
10.3390/biom14040437	role epigenetics glial cell autism spectrum disorder	Csoka AB; El Kouhen N; Bennani S; Getachew B; Aschner M; Tizabi Y	autism spectrum disorder asd is neurodevelopmental disorder characterized severe deficit social communication interaction repetitive movement abnormal focusing object activity that can significantly affect quality life afflicted neuronal glial cell have been implicated ha genetic component can also be triggered environmental factor drug example prenatal exposure to valproic acid acetaminophen ingestion propionic acid can increase risk asd recently epigenetic influence asd have come to forefront investigation etiology prevention treatment disorder epigenetics refers to dna modification alter gene expression making change to dna sequence increasing number pharmaceutical environmental chemical are being implicated etiology asd here specifically focus molecular influence abovementioned chemical epigenetic alteration neuronal glial cell potential connection to asd conclude better understanding phenomenon can lead to more effective intervention asd	Biomolecules	03/04/2024
10.1038/s41467-025-64035-4	macrophage ferroptosis potentiates deficiency induced pulmonary venous arterialization	Zhang J; Mao P; Zhou T; Yue B; Li Y; Qiu Y; Ying K; Wang F; Chen J; Yang J	pulmonary disease pvod is fatal disease characterized remodelling pulmonary vein haemosiderin accumulation macrophage general control nonderepressible deficiency ha been reported pvod patient underlying mechanism which deficiency affect pulmonary venous cell surrounding cell remains unclear here perform immunohistochemistry analysis to show macrophage are major population affected deficiency ferroptosis gene are upregulated lung macrophage pvod patient treatment specific ferroptosis inhibitor revers change haemodynamic index observed hypoxia mouse pvod model rat furthermore deficiency increase iron level to facilitate ferroptosis macrophage enhances arterial marker expression venous endothelial cell vecs specifically spatial transcriptome analysis show increased expression kdr vecs pvod patient finding suggest potential targeting macrophage ferroptosis therapeutic strategy treating related vascular disease using expression specific marker set venous arterialization	Nat Commun	22/09/2025
10.4088/JCP.16f10721	use acetaminophen paracetamol pregnancy risk disorder offspring	Andrade C	prenatal exposure to acetaminophen may result compromised neurodevelopment inflammatory immunologic mechanism predisposition to oxidative stress endocrine endogenous cannabinoid other mechanism several small large prospective study have found association gestational acetaminophen exposure disorder adhd behavior use adhd medication adhd diagnosis offspring childhood only negative study wa small investigation that examined only one aspect attention outcome creditably most study adjusted analysis many not confounds associated adhd risk importantly one pivotal study also adjusted pain infection inflammation fever to reduce confounding indication study found risk light finding single study infection fever pregnancy do not raise adhd risk appears possible use acetaminophen pregnancy is responsible increased risk adhd suggests acetaminophen may not be safe pregnancy is widely believed however fever pregnancy may be associated adverse gestational outcome given present level uncertainty adhd risk acetaminophen is suggested more data are available use acetaminophen pregnancy should not be denied situation which need drug is clear	J Clin Psychiatry	01/03/2016
10.1038/s41564-025-02119-z	metagenomics reveals microbiome diversity tick specie	Du LF; Shi W; Cui XM; Fan H; Jiang JF; Bian C; Ye RZ; Wang Q; Zhang MZ; Yuan TT; Xia LY; Ruan XD; Chang QC; Du CH; Que TC; Wang X; Han XH; Yang TC; Jiang BG; Chen JY; Wang XR; Tan LF; Liu YW; Deng LL; Liu Y; Zhu Y; Pan YS; Wang N; Lin ZT; Li LF; Li C; Shen SJ; Liu YT; Tian D; Han XY; Wang J; Wang YF; Gao WY; Li YY; Xiong T; Wang TH; Shi XY; Zhu DY; Zhu JG; Wang CC; Shi WQ; Zhan L; Liu ZH; Feng D; Zhao L; Sun Y; Wang J; Jia N; Zhao F; Cao WC	tick are arthropod vector capable transmitting wide spectrum pathogen affecting human animal however have relatively limited information genomic characteristic diversity associated microbiomes here used sequencing sample tick specie eight genus china to determine genome associated pathogen microbiome novo assembly reconstructed bacterial genome representing bacterial specie which genome represented potentially pathogenic specie computational analysis found nutritional endosymbionts to be prevalent highly specific to tick genus microbiome association study revealed host genetic variant linked to pathogen diversity abundance key biological pathway essential to tick biology including pathogen invasion finding provide resource studying interaction tick paving way strategy to control tick population disease	Nat Microbiol	23/09/2025
10.7314/apjcp.2013.14.4.2191	equol adiponectin insulin level risk breast cancer	Minatoya M; Kutomi G; Asakura S; Otokozawa S; Sugiyama Y; Nagata Y; Mori M; Hirata K	breast cancer is one most frequently diagnosed cancer leading cause cancer death woman soy isoflavones have been widely studied isoflavones equol ha been gaining interest regard to relationship breast cancer risk obesity ha been revealed one breast cancer risk factor known to be associated high level circulating insulin decreased level adiponectin hence there have been many study investigating relationship insulin adiponectin level breast cancer risk additionally recent finding have suggested insulin adiponectin may have influence breast cancer development independent obesity present review discus relationship breast cancer risk equol insulin adiponectin level which are three important factor ongoing study herein factor are reviewed not only clinical viewpoint also possible chemical biological point view which may explain clinical observation	Asian Pac J Cancer Prev	01/01/2013
10.1038/s43587-025-00957-4	herbal terpenoids activate autophagy mitophagy modulation bioenergetics protect metabolic stress sarcopenia epigenetic aging	Civiletto G; Brunetti D; Lizzo G; Muller K; Jacot GE; Daskalaki I; Sizzano F; Huh M; Di Meo I; Colombo MN; Sanchez-Garcia JL; Bétrisey BJ; Zollinger A; Lino P; Neal C; Egesipe AL; Richard J; Chimen M; Hermant A; Brinon B; Texari L; Metairon S; Qureshi MA; Patel DS; Vanapalli SA; Malavolta M; Gao AW; Lalou A; Provinciali M; Orlando F; Tiranti V; Brooke RT; Horvath S; Auwerx J; Feige JN; Gut P	small molecular food component contribute to health benefit diet rich fruit vegetable herb spice cellular mechanism which noncaloric bioactives promote healthspan are not well understood limiting use disease prevention here deploy screen zebrafish to profile compound activation autophagy cellular quality control mechanism that promotes healthy aging identify thymol carvacrol activator autophagy mitophagy transient dampening mitochondrial membrane potential chemical stabilization mitochondrial depolarization block mitophagy activation suggesting mechanism originating mitochondrial membrane supplementation thymol prevents excess liver fat accumulation mouse model obesity improves heat stress resilience caenorhabditis elegans slows decline skeletal muscle performance delaying epigenetic aging mouse thus terpenoids common herb promote autophagy aging metabolic overload making attractive molecule healthspan promotion	Nat Aging	24/09/2025
10.1038/s41590-025-02267-8	spatial genomics atlas human skin fibroblast reveals shared fibroblast subtypes tissue	Steele L; Olabi B; Roberts K; Mazin PV; Koplev S; Tudor C; Rumney B; Admane C; Jiang T; Correa-Gallegos D; Chakala KP; Binkevich A; Gopee NH; Predeus A; Prete M; Winheim E; Annusver K; Forsthuber A; Francis L; Frech S; Ganier C; Layton T; Liu Y; Yuan H; Gudjonsson JE; Lichtenberger BM; Mahil S; Nanchahal J; O&#x27;Toole EA; Plikus MV; Rinkevich Y; Rognoni E; Smith CH; Teichmann SA; Kasper M; Foster AR; Lotfollahi M; Haniffa M	fibroblast sculpt architecture cellular microenvironments various tissue here constructed spatially resolved atlas human skin fibroblast healthy skin skin disease comparison to disease define six major skin fibroblast subtypes health three that are characterize two fibroblast subtypes further are conserved tissue are first fibroblastic reticular fibroblast is fibroblastic reticular subtype that is predicted to maintain superficial perivascular immune niche second inflammatory myofibroblasts characterizes early human skin wound inflammatory disease scarring risk cancer inflammatory myofibroblasts were predicted to recruit neutrophil monocyte cell multiple human tissue study provides harmonized nomenclature skin fibroblast health disease contextualized finding clinical skin disease profile	Nat Immunol	24/09/2025
10.4088/JCP.16f10637	use acetaminophen paracetamol pregnancy risk autism spectrum disorder offspring	Andrade C	acetaminophen paracetamol is available counter most country is widely considered to be safe use pregnancy study report gestational exposure to acetaminophen lie range acetaminophen influence inflammatory immunologic mechanism may predispose to oxidative stress other effect are hypothesized to have potential to compromise neurodevelopment fetal infant brain two ecological study suggested trend use acetaminophen were associated trend autism one study specifically examined acetaminophen use pregnancy one large prospective observational cohort study found gestational exposure to acetaminophen especially when duration exposure wa day more wa associated motor milestone delay gross fine motor impairment communication impairment impairment internalizing externalizing behavior hyperactivity age year however social emotional developmental behavior were mostly unaffected very recent large cohort study found gestational exposure to acetaminophen wa associated increased risk autism spectrum disorder only when hyperkinetic disorder wa also present light existing data associating acetaminophen use pregnancy subsequent risk disorder new finding suggests predisposition is hyperkinetic syndrome rather to autism summary empirical data are very limited whatever empirical data exist do not support suggestion use acetaminophen pregnancy increase risk autism offspring	J Clin Psychiatry	01/02/2016
10.1038/s41568-025-00872-1	immune microenvironment colorectal cancer	Kennel KB; Greten FR	colorectal cancer crc progression depends close interaction tumour cell tumour microenvironment tme tme contributes to poor therapy response immune evasion immune cell tme can be therapeutically leveraged exemplified immune checkpoint blockade icb unfortunately only small subset patient crc benefit icb therapy microsatellite unstable crc respond predominant group patient crc tumour do not challenging modulating tme crc to convert lowly immunogenic immunosuppressed tumour tumour hold tremendous therapeutic potential review provide overview cellular molecular component immunity tme crcs various stage disease a well mechanism immunosuppression immune evasion further describe how systemic local therapy crc impact tumour systemic immune microenvironments how immunity could serve therapeutic prognostic biomarker lastly highlight novel immunotherapeutic strategy approach that modulate tme crcs to make amenable to immunotherapy	Nat Rev Cancer	22/09/2025
10.1001/jama.2025.15185	levodopa added to stroke rehabilitation estrel randomized clinical trial	Engelter ST; Kaufmann JE; Zietz A; Luft AR; Polymeris A; Altersberger VL; Wiesner K; Wiegert M; Held JPO; Rottenberger Y; Schwarz A; Medlin F; Accolla EA; Foucras S; Kägi G; De Marchis GM; Politz S; Greulich M; Tarnutzer AA; Sturzenegger R; Katan M; Fischer U; Nedeltchev K; Schär J; Van Den Keybus Deglon K; Rapin PA; Salerno A; Seiffge DJ; Auer E; Lippert J; Bonati LH; Schuster-Amft C; Gäumann S; Chabwine JN; Humm A; Möller JC; Schweinfurther R; Bujan B; Jedrysiak P; Sandor PS; Gonzenbach R; Mylius V; Lutz D; Lienert C; Peters N; Michel P; Müri RM; Schädelin S; Hemkens LG; Ford GA; Lyrer PA; Gensicke H; Traenka C	importance levodopa enhances dopaminergic signaling may stimulate neuroplasticity which could potentially enhance motor recovery stroke levodopa is used stroke rehabilitation mixed evidence effectiveness objective to determine levodopa compared placebo administered addition to standardized rehabilitation based active training is associated enhanced motor recovery patient acute stroke design setting participant randomized clinical trial stroke unit center collaborating rehabilitation center switzerland june first patient first visit august last patient last visit patient acute ischemic hemorrhagic stroke clinically meaningful hemiparesis ie total score point following national institute health stroke scale item motor arm motor leg limb ataxia were randomized to receive levodopa placebo statistical analysis were conducted november to august intervention patient received mg placebo time daily day alongside standardized rehabilitation therapy based active training main outcome measure primary outcome wa adjusted mean difference assessment fma total score range point fewer point indicate worse motor function difference considered month result participant median iqr age year female median baseline fma total score participant died month leaving participant eligible primary analysis month median iqr fma total score wa point levodopa group point placebo group mean difference fma total score levodopa placebo group wa point ci to there were serious adverse event levodopa group placebo group most common wa infection levodopa placebo conclusion relevance randomized clinical trial patient receiving inpatient rehabilitation acute stroke levodopa added to standardized rehabilitation did not significantly improve motor function month compared placebo standardized rehabilitation result do not support use levodopa adjunct to rehabilitation therapy enhancing motor recovery acute stroke trial registration identifier	JAMA	22/09/2025
10.1136/vr.128.9.199	bovine spongiform encephalopathy epidemiological study origin	Wilesmith JW; Ryan JB; Atkinson MJ	result further epidemiological study bovine spongiform encephalopathy bse support previous finding onset exposure cattle population to agent sufficient to result clinical disease occurred onset exposure wa related to cessation two rendering plant hydrocarbon solvent extraction fat meat bone meal further possible explanation related to geographical variation reprocessing greave to produce meat bone meal wa identified geographical variation incidence bse	Vet Rec	02/03/1991
10.1136/bmj-2025-085029	first mammography screening participation breast cancer incidence mortality subsequent year population based cohort study	Ma Z; He W; Zhang Y; Mao X; Tapia J; Hall P; Humphreys K; Czene K	objective to determine woman who did not attend first mammography screening invitation have long term risk poor screening adherence breast cancer outcome design population based cohort study setting stockholm sweden participant woman who received invitation to swedish mammography screening programme were initially invited year age year age main outcome measure screening adherence breast cancer incidence tumour characteristic breast cancer mortality tracked linkage to multiple swedish national register to year period cumulative breast cancer incidence were calculated first screening participation cox proportional hazard model estimated hazard ratio breast cancer mortality logistic regression model assessed association tumour characteristic odds ratio result total person year new case breast cancer were documented woman invited to first mammography screening did not participate were persistently less likely to attend subsequent screening were more likely have symptom detected advanced stage breast cancer diagnosed specifically compared first screening participant had odds ratio confidence interval to stage iii cancer case to stage iv cancer case total person year death breast cancer were documented first screening wa also associated significantly higher breast cancer mortality year cumulative mortality versus participant adjusted hazard ratio confidence interval to contrast year breast cancer incidence wa similar group participant versus suggesting elevated mortality first screening likely reflects delayed detection rather increased incidence conclusion study show first screening represent large population long term risk dying breast cancer providing opportunity targeted intervention to improve adherence to screening thereby decrease mortality risk	BMJ	24/09/2025
10.1016/j.cell.2025.08.035	fluorescent protein expand fluorescent microscopy temporal spectral domain	Tan Z; Hsiung CH; Feng J; Zhang Y; Wan Y; Chen J; Sun K; Lu P; Zang J; Yang W; Gao Y; Yin J; Zhu T; Lu Y; Pan Z; Zou Y; Liao C; Li X; Ye Y; Liu Y; Zhang X	fluorescence microscopy ha been widely applied life science while intensity signal is widely used tr signal using fluorescence lifetime remains underexplored herein present family fluorescent protein rationally controlled lifetime using strategy that regulates lifetime affecting spectrum fps have developed series cover visible spectrum wide range lifetime are employed resolved microscopy allowing simultaneous imaging different protein live cell correlation multiple activity to cell cycle furthermore enable multiplexing microscopy that concurrently visualizes protein using lifetime signal are demonstrated to quantify stoichiometry cellular protein work introduces concept development transformative toolset presenting opportunity to integrate system complexity quantitative accuracy biological research	Cell	22/09/2025
10.1152/japplphysiol.01354.2007	resistance training induces qualitative change muscle morphology muscle architecture muscle function elderly postoperative patient	Suetta C; Andersen JL; Dalgas U; Berget J; Koskinen S; Aagaard P; Magnusson SP; Kjaer M	negative effect bed rest muscle strength muscle mass are well established still remains challenge to identify effective method to restore physical capacity elderly patient recovering hospitalization present study compared different training regime respect to muscle strength muscle fiber size muscle architecture stair walking power elderly postoperative patient patient yr scheduled unilateral hip replacement surgery due to hip osteoarthritis were randomized to resistance training rt wk electrical stimulation e wk standard rehabilitation sr wk measurement were performed baseline wk wk postsurgery wk resistance training maximal dynamic muscle strength increased degree lt degree lt muscle fiber area increased type lt type iia lt type iix muscle fiber lt muscle fiber pennation angle increased muscle thickness increased lt furthermore stair walking power increased lt wa related to increase type ii fiber area lt contrast there wa increase measurement outcome electrical stimulation standard rehabilitation present study is first to demonstrate effectiveness resistance training to induce beneficial qualitative change muscle fiber morphology muscle architecture elderly postoperative patient contrast rehabilitation regime based functional exercise neuromuscular electrical stimulation had effect present data emphasize importance resistance training future rehabilitation program elderly individual	J Appl Physiol (1985)	01/07/2008
10.1182/blood.2025029360	talquetamab daratumumab treatment relapsed refractory multiple myeloma study	Chari A; van de Donk NWCJ; Dholaria B; Weisel KC; Mateos MV; Goldschmidt H; Martin TG; Morillo D; Reece D; Rodriguez-Otero P; Bhutani M; D&#x27;Souza A; Oriol A; Rosiñol L; Bahlis NJ; Vishwamitra D; Skerget S; Verona RI; Bakshi KK; Kang L; Prior TJ; Vandenberk L; Tolbert J; Lee S; Smit D; Wäsch R	talquetamab bispecific antibody multiple myeloma rrmm daratumumab may lead to deeper more durable response therapy alone phase study patient rrmm least prior line therapy double refractory to proteasome inhibitor immunomodulatory drug received subcutaneous talquetamab weekly qw quot cohort quot other week quot cohort quot daratumumab mg approved schedule primary end point wa safety secondary end point included overall response duration response survival wa exploratory end point patient median prior line therapy refractory bispecific received talquetamab daratumumab qw median month most common adverse event were oral event skin event cytokine release syndrome infection grade event occurred two patient had toxicity cohort grade mucositis grade maculopapular rash response occurred qw cohort cohort patient median survival wa month respectively cohort pharmacodynamic result suggest immunomodulatory action daratumumab contributes to conducive environment talquetamab reducing immunosuppressive cell talquetamab daratumumab demonstrated promising efficacy outcome heavily pretreated patient safety profile consistent agent monotherapy id	Blood	22/09/2025
10.1016/S2213-2600(25)00209-7	retifanlimab versus placebo combination chemotherapy patient squamous metastatic lung cancer phase multiregional randomised study	Lu S; Vynnychenko O; Kulyaba Y; Kuchava V; Ibrahim A; Moiseenko F; Arslan C; Nguyen DT; Petrovic M; Cicin I; Bibichadze K; Cil T; Shi J; Olmez OF; Gogishvili M; Artac M; Nguyen HG; Cornfeld M; Tian C; Munteanu MC; Sette CVM; Bondarenko I	background checkpoint inhibitor including combination chemotherapy have shown survival benefit patient metastatic lung cancer nsclc however access to drug varies aimed to evaluate efficacy inhibitor retifanlimab chemotherapy treatment squamous metastatic nsclc method wa phase multiregional randomised study conducted approximately hospital private clinical centre country male female adult aged year older squamous stage iv nsclc staging american joint committee cancer version eastern cooperative oncology group performance status previous systemic therapy metastatic nsclc were eligible patient were randomly assigned using interactive response technology to receive intravenous retifanlimab mg matching placebo day cycle standard chemotherapy according to tumour histology to year patient nsclc received pemetrexed cisplatin day four cycle carboplatin area curve auc day four cycle followed pemetrexed day subsequent cycle administered intravenously disease progression unacceptable toxicity patient squamous nsclc received intravenous carboplatin auc intravenous paclitaxel day four cycle intravenous day four cycle treatment retifanlimab placebo wa given up to cycle there wa disease progression unacceptable toxicity withdrawal consent randomisation wa stratified expression tumour proportion score geographical region predominant tumour histology primary endpoint wa overall survival defined time randomisation death due to cause analysed full analysis set safety wa evaluated randomly assigned patient who received least one dose study drug trial is registered is active longer enrolling finding sept march patient were assessed eligibility whom were randomly assigned to retifanlimab plus chemotherapy placebo chemotherapy patient had nsclc had squamous nsclc patient were male were female median age wa year iqr median overall survival wa longer retifanlimab chemotherapy group placebo chemotherapy group month ci v month ratio ci overall higher incidence adverse event that were serious v grade worse v led to retifanlimab placebo dose delay v discontinuation v nine were observed retifanlimab chemotherapy group placebo chemotherapy group proportion fatal adverse event were similar retifanlimab chemotherapy group placebo chemotherapy group four v five interpretation retifanlimab improved overall survival compared placebo when added to chemotherapy safety profile that is representative previous combination adding retifanlimab to chemotherapy could be potential treatment option patient squamous metastatic nsclc funding incyte	Lancet Respir Med	19/09/2025
10.4239/wjd.v16.i9.109123	saving muscle losing weight vital strategy sustainable result related drug	Cigrovski Berkovic M; Ruzic L; Cigrovski V; Strollo F	obesity affect billion people worldwide is linked to more health complication cardiovascular disease being leading cause mortality losing body weight is considered clinically significant improving health weight loss can be achieved pharmacotherapy including peptide receptor agonist insulinotropic dual receptor agonist insulinotropic triple receptor agonist such semaglutide tirzepatide retatrutide respectively much weight loss come fat mass treatment also result loss lean mass including muscle loss muscle may contribute to difficulty maintaining weight long term can lead to sarcopenia therefore focus new treatment should be primarily reducing fat mass minimizing loss muscle mass ideally promoting muscle gain research focusing human myocytes ha identified more myokines associated muscle contraction which may play crucial role preserving muscle mass function explored potential new agent combination therapy to achieve outcome further study are needed to better understand functional implication lean mass expansion weight loss weight maintenance program	World J Diabetes	15/09/2025
10.1038/s41467-025-62419-0	shared genetic architecture contributes to risk major cardiovascular disease	Qiao J; Jiang L; Cai L; Chang M; Wang C; Zhao R; Song S; Zhao Y; Chen M; Ding S; Tan N; He P; Sadayappan S; Xu J; Pauklin S; Liu Z; Feng Y	extensive cardiovascular disease cvds evidenced epidemiological study is supported positive genetic correlation identified comprehensive genetic investigation suggesting shared genetic basis however precise genetic mechanism underlying association remain elusive assessing genetic correlation genetic overlap causal connection aim to shed light common genetic underpinnings major cvds employing analysis pursue diverse strategy to unveil shared genetic element encompassing snp gene gene set functional category pleiotropic implication study systematically quantifies genetic overlap genetic correlation cvds identifying putative causal relationship coronary artery disease cad heart failure hf then pinpointed genomic locus pleiotropic influence cvds which most influential pleiotropic locus is located lpa gene notably locus present high evidence colocalization display congruent directional effect examination gene gene set linked to locus unveiled robust association circulatory system development process intriguingly distinct pattern predominantly driven atrial fibrillation coronary artery disease venous thromboembolism significant disparity clinically defined cvd classification underlying shared biological mechanism according to functional annotation finding	Nat Commun	24/09/2025
10.1038/s42255-025-01371-1	mapping plasma metabolome to human health disease adult	You J; Cui XH; Chen YL; Wang YX; Li HY; Qiang YX; Cheng JY; Deng YT; Guo Y; Ren P; Zhang Y; He Y; He XY; Chen SD; Zhang YR; Huang YY; Mao Y; Feng JF; Cheng W; Yu JT	systematic characterization metabolic profile human health disease enhances precision medicine here present comprehensive human atlas using data uk biobank participant nuclear magnetic resonance metabolic measure atlas link plasma metabolite to disease trait participant being prospectively followed median year atlas uncovered association where ratio cholesterol to total lipid large lipoprotein percentage wa found metabolite associated highest number disease addition found more half metabolite showed statistical variation healthy individual decade disease onset combined demographic metabolic risk score signified top metabolite biomarkers yielding favourable classification performance area curve gt prevalent incident disease finally mendelian randomization analysis provided support causal relationship pair which exhibited shared genetic determinant additional insight can be gleaned accessible interactive resource http	Nat Metab	19/09/2025
10.1093/jnci/djaf201	adiposity distribution risk cancer mendelian randomization analysis	Hazelwood E; Goudswaard LJ; Lee MA; Vabistsevits M; Pournaras DJ; Brenner H; Buchanan DD; Gruber SB; Gsur A; Li L; Vodickova L; Grant RC; Samadder NJ; Timpson NJ; Gunter MJ; Schuster-Böckler B; Yarmolinsky J; Richardson TG; Freisling H; Murphy N; Vincent EE	introduction there is convincing evidence overall adiposity increase risk several cancer distribution adiposity play similar role is unclear method used mendelian randomization mr to examine causal relationship adiposity distribution trait abdominal subcutaneous adipose tissue asat visceral adipose tissue vat gluteofemoral adipose tissue gfat fat pancreas fat risk cancer endometrial ovarian breast colorectal pancreas multiple myeloma liver kidney renal cell thyroid gallbladder esophageal adenocarcinoma meningioma result sample size association study gwas ranged to median found evidence higher genetically predicted asat increased risk endometrial cancer liver cancer esophageal adenocarcinoma odds ratio confidence interval ci standard deviation sd higher asat to to to respectively conversely found evidence higher genetically predicted gfat decreased risk breast cancer meningioma or ci sd higher genetically predicted gfat to to respectively also found evidence effect higher genetically predicted vat liver fat increased liver cancer risk or ci sd higher genetically predicted adiposity trait to to respectively discussion analysis provide novel insight relationship adiposity distribution cancer risk insight highlight potential importance adipose tissue distribution maintaining healthy weight cancer prevention	J Natl Cancer Inst	24/09/2025
10.1093/nar/gkaf875	dna polymerase kappa is primary translesion synthesis polymerase aldehyde icls	van der Sluijs RV; Verkennis AEE; Hodskinson MR; Barnett J; Cruz VM; Hernandez-Quiles M; Liolios T; Morton SB; Hendrikx A; Bos C; Post H; Millington CL; Rouillon C; Ricci G; Mattiroli F; Williams DM; Altelaar M; Vermeulen M; Patel KJ; Knipscheer P	dna interstrand crosslinks icls are highly cytotoxic lesion that block essential cellular process replication transcription endogenous icls can be induced reactive aldehyde produced normal cellular metabolism defective repair icls is associated fanconi anaemia fa cancer predisposition syndrome previously showed icls are repaired fa pathway novel pathway here demonstrate icls induced acrolein cellular aldehyde are also repaired pathway establishing generality aldehyde icl repair focusing fa pathway identify dna polymerase kappa polκ primary translesion synthesis tl polymerase responsible insertion step lesion bypass unhooked aldehyde icls function requires polκ catalytic activity pcna interaction domain is independent interaction contrast polκ ha role extension step cisplatin icl repair that is dependent interaction work reveals key role polκ aldehyde icl repair provides mechanistic insight how different icl structure determine choice tl polymerase repair	Nucleic Acids Res	23/09/2025
10.1111/apa.14614	study early randomised paracetamol trial to preterm infant found adverse reaction corrected age	Juujärvi S; Kallankari H; Pätsi P; Leskinen M; Saarela T; Hallman M; Aikio O	aim examined outcome safety early intravenous paracetamol ductus arteriosus closure corrected age two year method wa randomised preterm infant paracetamol study oulu university hospital finland which recruited very preterm infant hour birth received intravenous paracetamol placebo four day followed up infant two year corrected age included clinical neurodevelopmental assessment parental medical history questionnaire result infant boy were born week gestation difference cardiac parameter including blood pressure ultrasound scan result were found neurodevelopmental stage quantified griffith test were similar sign autism were reported asthma medication wa more common control group difference wa not significant atopy score number infection use public health service were similar two group conclusion adverse reaction early intravenous paracetamol were detected two year later larger trial are needed safety efficacy paracetamol prophylaxis early ductal closure very preterm infant	Acta Paediatr	01/03/2019
